step,samples,episode,epoch,loss,grad_norm,learning_rate,update_s,data_s,samples_per_s,memory_gb
10,20,0,0.00,0.517,28.386,1.6e-07,0.513,1.074,1,34.87
20,40,0,0.00,0.505,24.407,4.1e-07,0.444,0.002,4,34.87
30,60,0,0.00,0.311,17.462,6.6e-07,0.441,0.002,5,34.87
40,80,0,0.00,0.567,32.442,9.1e-07,0.453,0.002,4,34.87
50,100,0,0.00,0.443,23.143,1.2e-06,0.442,0.002,5,34.87
60,120,0,0.00,0.423,20.648,1.4e-06,1.544,0.002,1,34.87
70,140,0,0.00,0.316,16.115,1.7e-06,0.456,0.002,4,34.87
80,160,0,0.00,0.301,14.891,1.9e-06,0.446,0.002,4,34.87
90,180,0,0.00,0.426,18.839,2.2e-06,0.444,0.002,4,34.87
100,200,0,0.00,0.378,16.845,2.4e-06,0.445,0.002,4,34.87
110,220,0,0.00,0.320,13.311,2.7e-06,0.457,0.002,4,34.87
120,240,0,0.00,0.214,11.833,2.9e-06,0.444,0.002,4,34.87
130,260,0,0.01,0.153,11.059,3.2e-06,0.448,0.002,4,34.87
140,280,0,0.01,0.302,14.988,3.4e-06,0.456,0.002,4,34.87
150,300,0,0.01,0.217,11.010,3.7e-06,0.445,0.002,4,34.87
160,320,1,0.01,0.184,10.497,3.9e-06,0.442,0.002,5,34.87
170,340,1,0.01,0.259,19.065,4.2e-06,0.442,0.002,5,34.87
180,360,1,0.01,0.184,10.151,4.4e-06,0.456,0.002,4,34.87
190,380,1,0.01,0.316,19.824,4.7e-06,0.457,0.002,4,34.87
200,400,1,0.01,0.206,12.334,4.9e-06,0.487,0.003,4,34.87
210,420,1,0.01,0.245,13.576,5.2e-06,0.487,0.003,4,34.87
220,440,1,0.01,0.125,5.436,5.4e-06,0.517,0.003,4,34.87
230,460,1,0.01,0.173,9.763,5.7e-06,0.453,0.003,4,34.87
240,480,1,0.01,0.186,8.178,5.9e-06,0.467,0.003,4,34.87
250,500,1,0.01,0.293,11.177,6.2e-06,0.483,0.002,4,34.87
260,520,1,0.01,0.207,11.152,6.4e-06,0.443,0.002,4,34.87
270,540,1,0.01,0.288,10.844,6.7e-06,0.445,0.002,4,34.87
280,560,1,0.01,0.236,9.766,6.9e-06,0.445,0.002,4,34.87
290,580,1,0.01,0.168,8.427,7.2e-06,0.465,0.002,4,34.87
300,600,1,0.01,0.187,8.880,7.4e-06,0.441,0.002,5,34.87
310,620,1,0.01,0.178,9.078,7.7e-06,0.447,0.002,4,34.87
320,640,1,0.01,0.308,14.594,7.9e-06,0.462,0.002,4,34.87
330,660,1,0.01,0.197,9.134,8.2e-06,0.441,0.002,5,34.87
340,680,1,0.01,0.114,9.402,8.4e-06,0.440,0.002,5,34.87
350,700,1,0.01,0.239,14.373,8.7e-06,0.431,0.002,5,34.87
360,720,1,0.01,0.144,8.708,8.9e-06,0.453,0.002,4,34.87
370,740,1,0.01,0.229,12.626,9.2e-06,0.431,0.002,5,34.87
380,760,1,0.02,0.144,6.476,9.4e-06,0.436,0.002,5,34.87
390,780,1,0.02,0.116,5.473,9.7e-06,0.454,0.002,4,34.87
400,800,1,0.02,0.107,5.971,9.9e-06,0.439,0.002,5,34.87
410,820,1,0.02,0.196,7.941,1.0e-05,0.431,0.002,5,34.87
420,840,1,0.02,0.165,7.129,1.0e-05,0.443,0.002,4,34.87
430,860,1,0.02,0.134,5.839,1.1e-05,0.457,0.002,4,34.87
440,880,1,0.02,0.222,11.863,1.1e-05,0.437,0.002,5,34.87
450,900,1,0.02,0.216,10.666,1.1e-05,0.438,0.002,5,34.87
460,920,1,0.02,0.152,9.581,1.1e-05,0.457,0.002,4,34.87
470,940,1,0.02,0.192,10.504,1.2e-05,0.437,0.002,5,34.87
480,960,2,0.02,0.161,8.699,1.2e-05,0.441,0.002,5,34.87
490,980,2,0.02,0.136,8.168,1.2e-05,0.440,0.002,5,34.87
500,1000,2,0.02,0.133,5.732,1.2e-05,0.455,0.002,4,34.87
510,1020,2,0.02,0.261,9.784,1.3e-05,0.444,0.002,4,34.87
520,1040,2,0.02,0.268,9.977,1.3e-05,0.440,0.002,5,34.87
530,1060,2,0.02,0.213,10.721,1.3e-05,0.458,0.002,4,34.87
540,1080,2,0.02,0.310,12.583,1.3e-05,0.443,0.002,4,34.87
550,1100,2,0.02,0.138,5.610,1.4e-05,0.442,0.002,5,34.87
560,1120,2,0.02,0.226,9.928,1.4e-05,0.445,0.002,4,34.87
570,1140,2,0.02,0.167,6.150,1.4e-05,0.458,0.002,4,34.87
580,1160,2,0.02,0.154,7.233,1.4e-05,0.443,0.002,4,34.87
590,1180,2,0.02,0.162,5.957,1.5e-05,0.444,0.002,4,34.87
600,1200,2,0.02,0.125,5.826,1.5e-05,0.451,0.002,4,34.87
610,1220,2,0.02,0.244,10.341,1.5e-05,0.436,0.002,5,34.87
620,1240,2,0.02,0.166,7.479,1.5e-05,0.436,0.002,5,34.87
630,1260,2,0.02,0.133,5.353,1.6e-05,0.435,0.002,5,34.87
640,1280,2,0.03,0.127,6.054,1.6e-05,0.451,0.002,4,34.87
650,1300,2,0.03,0.155,6.775,1.6e-05,0.439,0.002,5,34.87
660,1320,2,0.03,0.228,9.274,1.6e-05,0.436,0.002,5,34.87
670,1340,2,0.03,0.138,5.282,1.7e-05,0.444,0.002,4,34.87
680,1360,2,0.03,0.309,10.617,1.7e-05,1.069,0.002,2,34.87
690,1380,2,0.03,0.184,8.220,1.7e-05,0.444,0.002,4,34.87
700,1400,2,0.03,0.162,7.856,1.7e-05,0.442,0.002,5,34.87
710,1420,2,0.03,0.200,7.508,1.8e-05,0.459,0.002,4,34.87
720,1440,2,0.03,0.278,8.690,1.8e-05,0.439,0.002,5,34.87
730,1460,2,0.03,0.189,7.013,1.8e-05,0.441,0.002,5,34.87
740,1480,2,0.03,0.137,5.924,1.8e-05,0.436,0.002,5,34.87
750,1500,2,0.03,0.127,5.925,1.9e-05,0.458,0.002,4,34.87
760,1520,2,0.03,0.196,7.182,1.9e-05,0.439,0.002,5,34.87
770,1540,2,0.03,0.189,7.645,1.9e-05,0.441,0.002,5,34.87
780,1560,2,0.03,0.162,6.357,1.9e-05,0.461,0.002,4,34.87
790,1580,2,0.03,0.117,5.541,2.0e-05,0.444,0.002,4,34.87
800,1600,3,0.03,0.180,6.385,2.0e-05,0.438,0.002,5,34.87
810,1620,3,0.03,0.213,7.627,2.0e-05,0.435,0.002,5,34.87
820,1640,3,0.03,0.153,6.189,2.0e-05,0.455,0.002,4,34.87
830,1660,3,0.03,0.181,7.870,2.1e-05,0.446,0.002,4,34.87
840,1680,3,0.03,0.122,5.770,2.1e-05,0.449,0.002,4,34.87
850,1700,3,0.03,0.184,6.298,2.1e-05,0.449,0.002,4,34.87
860,1720,3,0.03,0.111,4.510,2.1e-05,0.435,0.002,5,34.87
870,1740,3,0.03,0.134,4.584,2.2e-05,0.442,0.002,5,34.87
880,1760,3,0.03,0.273,10.552,2.2e-05,0.440,0.002,5,34.87
890,1780,3,0.04,0.198,8.011,2.2e-05,0.459,0.002,4,34.87
900,1800,3,0.04,0.148,6.497,2.2e-05,0.444,0.002,4,34.87
910,1820,3,0.04,0.143,5.531,2.3e-05,0.436,0.002,5,34.87
920,1840,3,0.04,0.149,6.007,2.3e-05,0.459,0.002,4,34.87
930,1860,3,0.04,0.174,6.845,2.3e-05,0.431,0.002,5,34.87
940,1880,3,0.04,0.141,6.433,2.3e-05,0.440,0.002,5,34.87
950,1900,3,0.04,0.147,6.025,2.4e-05,0.441,0.002,5,34.87
960,1920,3,0.04,0.190,6.673,2.4e-05,0.458,0.002,4,34.87
970,1940,3,0.04,0.216,8.540,2.4e-05,0.444,0.002,4,34.87
980,1960,3,0.04,0.265,9.253,2.4e-05,0.448,0.002,4,34.87
990,1980,3,0.04,0.126,6.004,2.5e-05,0.442,0.002,5,34.87
1000,2000,3,0.04,0.214,7.478,2.5e-05,0.456,0.002,4,34.87
1010,2020,3,0.04,0.110,4.154,2.5e-05,0.444,0.002,4,34.87
1020,2040,3,0.04,0.109,5.301,2.5e-05,0.445,0.002,4,34.87
1030,2060,3,0.04,0.171,6.204,2.5e-05,0.461,0.002,4,34.87
1040,2080,3,0.04,0.213,8.099,2.5e-05,0.441,0.002,5,34.87
1050,2100,3,0.04,0.215,8.989,2.5e-05,0.446,0.002,4,34.87
1060,2120,3,0.04,0.180,7.204,2.5e-05,0.435,0.002,5,34.87
1070,2140,3,0.04,0.240,7.733,2.5e-05,0.455,0.002,4,34.87
1080,2160,3,0.04,0.265,8.328,2.5e-05,0.443,0.002,4,34.87
1090,2180,3,0.04,0.239,8.000,2.5e-05,0.446,0.002,4,34.87
1100,2200,3,0.04,0.167,6.114,2.5e-05,0.460,0.002,4,34.87
1110,2220,4,0.04,0.142,7.249,2.5e-05,0.437,0.002,5,34.87
1120,2240,4,0.04,0.185,6.737,2.5e-05,0.435,0.002,5,34.87
1130,2260,4,0.04,0.164,5.524,2.5e-05,0.443,0.002,4,34.87
1140,2280,4,0.05,0.186,6.568,2.5e-05,0.454,0.002,4,34.87
1150,2300,4,0.05,0.134,5.508,2.5e-05,0.438,0.002,5,34.87
1160,2320,4,0.05,0.261,9.226,2.5e-05,0.629,0.002,3,34.87
1170,2340,4,0.05,0.103,5.493,2.5e-05,0.456,0.002,4,34.87
1180,2360,4,0.05,0.164,5.009,2.5e-05,0.436,0.002,5,34.87
1190,2380,4,0.05,0.139,4.940,2.5e-05,0.447,0.002,4,34.87
1200,2400,4,0.05,0.212,7.066,2.5e-05,0.440,0.002,5,34.87
1210,2420,4,0.05,0.157,5.989,2.5e-05,0.458,0.002,4,34.87
1220,2440,4,0.05,0.191,6.906,2.5e-05,0.437,0.002,5,34.87
1230,2460,4,0.05,0.189,6.714,2.5e-05,0.434,0.002,5,34.87
1240,2480,4,0.05,0.148,5.394,2.5e-05,0.459,0.002,4,34.87
1250,2500,4,0.05,0.096,4.026,2.5e-05,0.441,0.002,5,34.87
1260,2520,4,0.05,0.169,5.898,2.5e-05,0.438,0.002,5,34.87
1270,2540,4,0.05,0.237,7.398,2.5e-05,0.439,0.002,5,34.87
1280,2560,4,0.05,0.186,6.935,2.5e-05,0.456,0.002,4,34.87
1290,2580,4,0.05,0.199,6.739,2.5e-05,0.445,0.002,4,34.87
1300,2600,4,0.05,0.199,6.182,2.5e-05,0.449,0.002,4,34.87
1310,2620,4,0.05,0.225,6.711,2.5e-05,0.459,0.002,4,34.87
1320,2640,4,0.05,0.179,6.280,2.5e-05,0.436,0.002,5,34.87
1330,2660,4,0.05,0.183,7.046,2.5e-05,0.439,0.002,5,34.87
