run,commands,positions,duration_s,effective_hz,max_interval_ms,max_joint_change_deg,errors
robot-20260917-203612-369271,501,251,9.999804562000008,50.00097720909834,21.345726000163268,0.0,[]
robot-20260917-203738-085275,0,0,,,,,[]
robot-20260917-203801-891858,189,95,3.758477270000185,50.0202572729649,21.084324000185006,7.999999996899098,[]
robot-20260917-203830-865975,189,95,3.7589093649999086,50.0145073330345,20.76485199995659,7.999999998019829,[]
robot-20260917-204221-694533,0,0,,,,,[]
robot-20260917-204304-329716,470,235,9.37999496500015,50.00002683903279,21.272644999953627,19.99999999973902,[]
robot-20260917-204418-060046,471,236,9.39988505500014,50.00061141705025,20.998981000047934,20.043956043734806,[]
robot-20260917-204518-757250,470,235,9.378809514000295,50.006346679703476,21.039079999809474,19.99999999880866,[]
robot-20260917-204641-860092,469,235,9.359687701999974,50.00166831421073,21.198011000251427,19.95604395582246,[]
robot-20260917-205209-626458,0,0,,,,,[]
robot-20260917-205301-110604,564,282,11.260465911999745,49.99793120460829,21.101641999848653,23.99999999980666,[]
robot-20260917-205848-611718,564,282,11.25910472400028,50.00397578680395,21.26290500018513,23.999999999620627,[]
robot-20260917-205924-478748,564,282,11.25908765999975,50.00405157161841,21.343917999729456,23.999999999632927,[]
robot-20260917-210006-812581,517,259,10.31827083600001,50.00837913652139,21.398854000835854,21.99999999906406,[]
robot-20260917-210043-789103,190,95,3.778546970000207,50.01922736453099,21.322809000594134,8.043956031734197,[]
robot-20260917-210111-661328,235,118,4.679626059999464,50.00399540471548,20.978683999601344,9.956043954978668,[]
robot-20260917-210147-431854,164,82,3.259832268999162,50.0025726937308,20.922704000440717,6.934065931986908,[]
robot-20260917-210227-083706,151,76,3.0000626099999863,49.99895652177762,20.943877000718203,1.9999999992473363,[]
robot-20260917-210301-897802,151,76,2.999778444000185,50.00369287272296,21.055416999843146,0.0,[]
robot-20260917-210348-988346,237,119,4.719483242000024,50.005474730743586,21.253164999507135,0.0,[]
robot-20260917-210427-962701,151,76,3.000250068999776,49.995832530722026,21.04633599992667,3.065934064025342,[]
robot-20260917-210510-138403,235,118,4.678623017999598,50.01471567590618,21.261093000248366,0.0,[]
robot-20260917-210551-620546,187,94,3.7198099930001263,50.00255398797562,21.439494999867748,7.923076921406533,[]
robot-20260917-210646-133226,472,236,9.419696115000079,50.00161302974221,21.43750000050204,20.065934065616744,[]
robot-20260917-211019-687445,564,282,11.259726734000651,50.00121346639134,21.14136599993799,23.999999999725013,[]
robot-20260917-211112-394665,331,166,6.599522438999884,50.0036181481655,21.180423999794584,14.065934065098261,[]
robot-20260917-211200-145258,350,175,6.979275277999477,50.00519195741432,21.129689999725088,17.818795379602065,"['RuntimeError(""Temperature threshold exceeded: {\'shoulder_pan\': 38, \'shoulder_lift\': 41, \'elbow_flex\': 44, \'wrist_flex\': 39, \'wrist_roll\': 38, \'gripper\': 58}"")']"
robot-20260917-211237-455113,0,0,,,,,[]
robot-20260917-211345-288284,0,0,,,,,[]
robot-20260917-211419-014494,166,83,3.2993325079996794,50.01011556123401,21.244430000479042,7.01098900623364,[]
robot-20260917-211455-680394,164,82,3.2591643610003302,50.01281983519563,21.124095000232046,6.945054942175005,[]
robot-20260917-211541-482629,151,76,2.998679271000583,50.022021844953365,21.215056000073673,5.999999973013267,[]
robot-20260917-211629-691378,151,76,2.9994452439996167,50.009247643401615,21.4193140000134,6.043956041291938,[]
robot-20260917-211712-499262,151,76,2.9996744840000247,50.0054258554005,20.86584100015898,5.999999994268094,[]
robot-20260917-211759-095949,187,94,3.7192024969999693,50.01072142483064,20.851217999734217,7.934065930984287,[]
robot-20260917-211841-316041,111,56,2.1991818060005244,50.01860223646002,21.13738000025478,10.065934058273584,[]
robot-20260917-211914-225020,151,76,2.999420770999677,50.009655680955525,20.574529000441544,3.0219780205359683,[]
robot-20260917-211942-587708,151,76,2.9997737579997192,50.003770984389696,21.238436000203365,13.065934062817366,[]
robot-20260917-212044-149658,151,76,2.9994893120001507,50.00851291581214,21.127429000443954,13.065934051777004,[]
robot-20260917-212113-099585,151,76,2.9991521769998144,50.014134377819964,21.063156999844068,13.065934059731106,[]
robot-20260917-212154-745462,375,188,7.479241783999896,50.005068802573845,21.420799999759765,15.934065932833477,[]
robot-20260917-212244-646318,471,236,9.399708132999876,50.001552532248844,21.346178999920085,20.043956043738277,[]
robot-20260917-212334-918988,470,235,9.379798663000656,50.001073247979924,21.133588000338932,19.999999999737394,[]
robot-20260917-212426-853700,354,177,7.0595635259996925,50.003091366758724,21.675790000699635,15.043956043143325,[]
robot-20260917-212523-582941,236,118,4.699200498000209,50.00850678748577,21.380314999987604,10.010989008599559,[]
robot-20260917-212610-354042,151,76,2.9998316769997473,50.00280554074989,21.672634999958973,5.04395604176834,[]
robot-20260917-212659-095238,167,84,3.3196541870001965,50.00520856963291,20.769898000253306,7.076923074620737,[]
robot-20260917-212752-019677,213,107,4.239744518000407,50.003012940974486,20.978456999728223,0.0,[]
robot-20260917-213027-670039,0,0,,,,,[]
robot-20260917-213110-496686,563,282,11.239673936000145,50.00145050471086,21.529990999624715,23.956043955863862,[]
